Name,Wikipage,Award,Field,Year,Gender,Status
Graham Hutchings,https://en.wikipedia.org/wiki/Graham_Hutchings,Citation Laureate,Chemistry,2012,male,alive
Akira Fujishima,https://en.wikipedia.org/wiki/Akira_Fujishima,Citation Laureate,Chemistry,2012,male,alive
Bruce Ames,https://en.wikipedia.org/wiki/Bruce_Ames,Citation Laureate,Chemistry,2013,male,alive
Paul Alivisatos,https://en.wikipedia.org/wiki/Paul_Alivisatos,Citation Laureate,Chemistry,2013,male,alive
Chad Mirkin,https://en.wikipedia.org/wiki/Chad_Mirkin,Citation Laureate,Chemistry,2013,male,alive
Nadrian Seeman,https://en.wikipedia.org/wiki/Nadrian_Seeman,Citation Laureate,Chemistry,2013,male,alive
Karl Barry Sharpless,https://en.wikipedia.org/wiki/Karl_Barry_Sharpless,Citation Laureate,Chemistry,2013,male,alive
Graeme Moad,https://en.wikipedia.org/wiki/Graeme_Moad,Citation Laureate,Chemistry,2014,male,alive
Charles T. Kresge,https://en.wikipedia.org/wiki/Charles_T._Kresge,Citation Laureate,Chemistry,2014,male,alive
Ryoo Ryong,https://en.wikipedia.org/wiki/Ryoo_Ryong,Citation Laureate,Chemistry,2014,male,alive
Steven Van Slyke,https://en.wikipedia.org/wiki/Steven_Van_Slyke,Citation Laureate,Chemistry,2014,male,alive
Galen D. Stucky,https://en.wikipedia.org/wiki/Galen_D._Stucky,Citation Laureate,Chemistry,2014,male,alive
Ching W. Tang,https://en.wikipedia.org/wiki/Ching_W._Tang,Citation Laureate,Chemistry,2014,male,alive
Carolyn R. Bertozzi,https://en.wikipedia.org/wiki/Carolyn_R._Bertozzi,Citation Laureate,Chemistry,2015,female,alive
Emmanuelle Charpentier,https://en.wikipedia.org/wiki/Emmanuelle_Charpentier,Citation Laureate,Chemistry,2015,female,alive
Jennifer Doudna,https://en.wikipedia.org/wiki/Jennifer_Doudna,Citation Laureate,Chemistry,2015,female,alive
John B. Goodenough,https://en.wikipedia.org/wiki/John_B._Goodenough,Citation Laureate,Chemistry,2015,male,alive
M Stanley Whittingham,https://en.wikipedia.org/wiki/M_Stanley_Whittingham,Citation Laureate,Chemistry,2015,male,alive
Lars Peter Hansen,https://en.wikipedia.org/wiki/Lars_Peter_Hansen,Citation Laureate,Economics,2008,male,alive
Thomas J. Sargent,https://en.wikipedia.org/wiki/Thomas_J._Sargent,Citation Laureate,Economics,2008,male,alive
Christopher A. Sims,https://en.wikipedia.org/wiki/Christopher_A._Sims,Citation Laureate,Economics,2008,male,alive
Armen Alchian,https://en.wikipedia.org/wiki/Armen_Alchian,Citation Laureate,Economics,2008,male,dead
Harold Demsetz,https://en.wikipedia.org/wiki/Harold_Demsetz,Citation Laureate,Economics,2008,male,alive
Martin Feldstein,https://en.wikipedia.org/wiki/Martin_Feldstein,Citation Laureate,Economics,2008,male,alive
Ernst Fehr,https://en.wikipedia.org/wiki/Ernst_Fehr,Citation Laureate,Economics,2009,male,alive
Matthew Rabin,https://en.wikipedia.org/wiki/Matthew_Rabin,Citation Laureate,Economics,2009,male,alive
William Nordhaus,https://en.wikipedia.org/wiki/William_Nordhaus,Citation Laureate,Economics,2009,male,alive
Martin Weitzman,https://en.wikipedia.org/wiki/Martin_Weitzman,Citation Laureate,Economics,2009,male,alive
Jordi Galí,https://en.wikipedia.org/wiki/Jordi_Gal%C3%AD,Citation Laureate,Economics,2009,male,alive
Mark Gertler,https://en.wikipedia.org/wiki/Mark_Gertler_(economist),Citation Laureate,Economics,2009,male,alive
Alberto Alesina,https://en.wikipedia.org/wiki/Alberto_Alesina,Citation Laureate,Economics,2010,male,alive
Nobuhiro Kiyotaki,https://en.wikipedia.org/wiki/Nobuhiro_Kiyotaki,Citation Laureate,Economics,2010,male,alive
John Hardman Moore,https://en.wikipedia.org/wiki/John_Hardman_Moore,Citation Laureate,Economics,2010,male,alive
Kevin M. Murphy,https://en.wikipedia.org/wiki/Kevin_M._Murphy,Citation Laureate,Economics,2010,male,alive
Douglas Diamond,https://en.wikipedia.org/wiki/Douglas_Diamond,Citation Laureate,Economics,2011,male,alive
Anne Osborn Krueger,https://en.wikipedia.org/wiki/Anne_Osborn_Krueger,Citation Laureate,Economics,2011,female,alive
Gordon Tullock,https://en.wikipedia.org/wiki/Gordon_Tullock,Citation Laureate,Economics,2011,male,dead
Jerry A. Hausman,https://en.wikipedia.org/wiki/Jerry_A._Hausman,Citation Laureate,Economics,2011,male,alive
Halbert White,https://en.wikipedia.org/wiki/Halbert_White,Citation Laureate,Economics,2011,male,dead
Angus Deaton,https://en.wikipedia.org/wiki/Angus_Deaton,Citation Laureate,Economics,2012,male,alive
Stephen Ross,https://en.wikipedia.org/wiki/Stephen_Ross_(economist),Citation Laureate,Economics,2012,male,alive
Tony Atkinson,https://en.wikipedia.org/wiki/Tony_Atkinson,Citation Laureate,Economics,2012,male,alive
David Forbes Hendry,https://en.wikipedia.org/wiki/David_Forbes_Hendry,Citation Laureate,Economics,2013,male,alive
M. Hashem Pesaran,https://en.wikipedia.org/wiki/M._Hashem_Pesaran,Citation Laureate,Economics,2013,male,alive
Peter C. B. Phillips,https://en.wikipedia.org/wiki/Peter_C._B._Phillips,Citation Laureate,Economics,2013,male,alive
Sam Peltzman,https://en.wikipedia.org/wiki/Sam_Peltzman,Citation Laureate,Economics,2013,male,alive
Richard Posner,https://en.wikipedia.org/wiki/Richard_Posner,Citation Laureate,Economics,2013,male,alive
Joshua Angrist,https://en.wikipedia.org/wiki/Joshua_Angrist,Citation Laureate,Economics,2013,male,alive
David Card,https://en.wikipedia.org/wiki/David_Card,Citation Laureate,Economics,2013,male,alive
Alan Krueger,https://en.wikipedia.org/wiki/Alan_Krueger,Citation Laureate,Economics,2013,male,alive
Philippe Aghion,https://en.wikipedia.org/wiki/Philippe_Aghion,Citation Laureate,Economics,2014,male,alive
William Baumol,https://en.wikipedia.org/wiki/William_Baumol,Citation Laureate,Economics,2014,male,alive
Mark Granovetter,https://en.wikipedia.org/wiki/Mark_Granovetter,Citation Laureate,Economics,2014,male,alive
Peter Howitt,https://en.wikipedia.org/wiki/Peter_Howitt_(economist),Citation Laureate,Economics,2014,male,alive
Israel Kirzner,https://en.wikipedia.org/wiki/Israel_Kirzner,Citation Laureate,Economics,2014,male,alive
Richard Blundell,https://en.wikipedia.org/wiki/Richard_Blundell,Citation Laureate,Economics,2015,male,alive
John A. List,https://en.wikipedia.org/wiki/John_A._List,Citation Laureate,Economics,2015,male,alive
