Name,Wikipage,Award,Field,Research Topic,Year,Gender,Status
Elon Lindenstrauss,https://en.wikipedia.org/wiki/Elon_Lindenstrauss,Fields Medal,Mathematics,"Mathematics, Ergodic theory ",2010,male,alive
John Tate,https://en.wikipedia.org/wiki/John_Tate,Abel Prize,Mathematics,"Algebraic number theory, Arithmetic geometry, Algebraic geometry",2010,male,alive
Nancy A. Moran,https://en.wikipedia.org/wiki/Nancy_A._Moran,International Prize for Biology,Biology,Evolutionary biology,2010,female,alive
Leslie Valiant,https://en.wikipedia.org/wiki/Leslie_Valiant,Turing Award,Computer Science,"Mathematics, Computer Science",2010,male,alive
Andrew Viterbi,https://en.wikipedia.org/wiki/Andrew_Viterbi,IEEE Medal of Honor,Computer Science,Electrical engineering,2010,male,alive
Saul Perlmutter,https://en.wikipedia.org/wiki/Saul_Perlmutter,Nobel,Physics,Astrophysics,2011,male,alive
Adam G. Riess,https://en.wikipedia.org/wiki/Adam_Riess,Nobel,Physics,Astrophysics,2011,male,alive
Brian Schmidt,https://en.wikipedia.org/wiki/Brian_Schmidt,Nobel,Physics,Astrophysics,2011,male,alive
Dan Shechtman ,https://en.wikipedia.org/wiki/Dan_Shechtman,Nobel,Chemistry,Materials science,2011,male,alive
Bruce Beutler,https://en.wikipedia.org/wiki/Bruce_Beutler,Nobel,Physiology or Medicine,Immunology,2011,male,alive
Jules A. Hoffmann,https://en.wikipedia.org/wiki/Jules_A._Hoffmann,Nobel,Physiology or Medicine,"Immunology, Cell biology",2011,male,alive
Ralph M. Steinman,https://en.wikipedia.org/wiki/Ralph_M._Steinman,Nobel,Physiology or Medicine,"Immunology, Cell biology",2011,male,dead
Thomas J. Sargent,https://en.wikipedia.org/wiki/Thomas_J._Sargent,Nobel,Economics,"Macroeconomics, Monetary economics",2011,male,alive
Christopher A. Sims,https://en.wikipedia.org/wiki/Christopher_A._Sims,Nobel,Economics,"Macroeconomics, Monetary economics, Time series",2011,male,alive
Brian Druker,https://en.wikipedia.org/wiki/Brian_Druker,Citation Laureate,Physiology or Medicine,"Medicine, Oncology, Leukemia Research",2011,male,alive
Nicholas Lydon,https://en.wikipedia.org/wiki/Nicholas_Lydon,Citation Laureate,Physiology or Medicine,"Biochemistry, Oncology, Leukemia Research",2011,male,alive
Charles Sawyers,https://en.wikipedia.org/wiki/Charles_Sawyers,Citation Laureate,Physiology or Medicine,Oncology,2011,male,alive
Robert S. Langer,https://en.wikipedia.org/wiki/Robert_S._Langer,Citation Laureate,Physiology or Medicine,Biomedical Engineering,2011,male,alive
Joseph P. Vacanti,https://de.wikipedia.org/wiki/Joseph_P._Vacanti,Citation Laureate,Physiology or Medicine,"Medicine, Transplantation",2011,male,alive
Jacques Miller,https://en.wikipedia.org/wiki/Jacques_Miller,Citation Laureate,Physiology or Medicine,Immunology,2011,male,alive
Robert L. Coffman,https://de.wikipedia.org/wiki/Robert_L._Coffman,Citation Laureate,Physiology or Medicine,"Biotechnology, Immunology",2011,male,alive
Tim Mosmann,https://de.wikipedia.org/wiki/Tim_Mosmann,Citation Laureate,Physiology or Medicine,"Microbiology, Immunology",2011,male,alive
Alain Aspect,https://en.wikipedia.org/wiki/Alain_Aspect,Citation Laureate,Physics,Quantum mechanics,2011,male,alive
John Clauser,https://en.wikipedia.org/wiki/John_Clauser,Citation Laureate,Physics,Quantum mechanics,2011,male,alive
Anton Zeilinger,https://en.wikipedia.org/wiki/Anton_Zeilinger,Citation Laureate,Physics,Quantum information,2011,male,alive
Sajeev John,https://en.wikipedia.org/wiki/Sajeev_John,Citation Laureate,Physics,"Physics, Wave theory",2011,male,alive
Eli Yablonovitch,https://en.wikipedia.org/wiki/Eli_Yablonovitch,Citation Laureate,Physics,Electrical Engineering,2011,male,alive
Hideo Ohno,https://en.wikipedia.org/wiki/Hideo_Ohno,Citation Laureate,Physics,Spintronics,2011,male,alive
Martin Karplus,https://en.wikipedia.org/wiki/Martin_Karplus,Citation Laureate,Chemistry,"Quantum chemistry, Nuclear magnetic resonance spectroscopy",2011,male,alive
Allen J. Bard,https://en.wikipedia.org/wiki/Allen_J._Bard,Citation Laureate,Chemistry,Electrochemistry,2011,male,alive
Jean Fréchet,https://en.wikipedia.org/wiki/Jean_Fr%C3%A9chet,Citation Laureate,Chemistry,Nanotechnology,2011,male,alive
Donald A. Tomalia,https://de.wikipedia.org/wiki/Donald_A._Tomalia,Citation Laureate,Chemistry,Polymer chemistry,2011,male,alive
Fritz Vögtle,https://de.wikipedia.org/wiki/Fritz_V%C3%B6gtle,Citation Laureate,Chemistry,"Organic chemistry, Supramolecular chemistry",2011,male,alive
Douglas Diamond,https://en.wikipedia.org/wiki/Douglas_Diamond,Citation Laureate,Economics,Finance,2011,male,alive
Anne Osborn Krueger,https://en.wikipedia.org/wiki/Anne_Osborn_Krueger,Citation Laureate,Economics,"International economy,  Political economy, Trade policy",2011,female,alive
Gordon Tullock,https://en.wikipedia.org/wiki/Gordon_Tullock,Citation Laureate,Economics,"Law and economics, Public choice theory",2011,male,dead
Jerry A. Hausman,https://en.wikipedia.org/wiki/Jerry_A._Hausman,Citation Laureate,Economics,Econometrics,2011,male,alive
Halbert White,https://en.wikipedia.org/wiki/Halbert_White,Citation Laureate,Economics,Econometrics,2011,male,dead
John Milnor,https://en.wikipedia.org/wiki/John_Milnor,Abel Prize,Mathematics,"Differential topology, K-theory, Dynamical systems",2011,male,alive
Eric H. Davidson,https://en.wikipedia.org/wiki/Eric_H._Davidson,International Prize for Biology,Biology,Developmental biology,2011,male,dead
Judea Pearl,https://en.wikipedia.org/wiki/Judea_Pearl,Turing Award,Computer Science,"Computer Science, Statistics",2011,male,alive
Morris Chang,https://en.wikipedia.org/wiki/Morris_Chang,IEEE Medal of Honor,Computer Science,Electrical engineering,2011,male,alive
Serge Haroche,https://en.wikipedia.org/wiki/Serge_Haroche,Nobel,Physics,Quantum mechanics,2012,male,alive
David J. Wineland,https://en.wikipedia.org/wiki/David_J._Wineland,Nobel,Physics,"Optics, Quantum mechanics",2012,male,alive
Brian K. Kobilka,https://en.wikipedia.org/wiki/Brian_Kobilka,Nobel,Chemistry,Crystallography,2012,male,alive
Robert J. Lefkowitz,https://en.wikipedia.org/wiki/Robert_Lefkowitz,Nobel,Chemistry,"Receptor Biology, Biochemistry",2012,male,alive
John B. Gurdon,https://en.wikipedia.org/wiki/John_Gurdon,Nobel,Physiology or Medicine,Developmental biology,2012,male,alive
Shinya Yamanaka,https://en.wikipedia.org/wiki/Shinya_Yamanaka,Nobel,Physiology or Medicine,Stem cell ,2012,male,alive
Alvin E. Roth,https://en.wikipedia.org/wiki/Alvin_E._Roth,Nobel,Economics,"Game theory, Market design, Experimental economics",2012,male,alive
Lloyd S. Shapley,https://en.wikipedia.org/wiki/Lloyd_Shapley,Nobel,Economics,"Mathematical economics, Game theory",2012,male,dead
Richard Hynes,https://en.wikipedia.org/wiki/Richard_Hynes,Citation Laureate,Physiology or Medicine,"Stem cell, Oncology",2012,male,alive
Erkki Ruoslahti,https://en.wikipedia.org/wiki/Erkki_Ruoslahti,Citation Laureate,Physiology or Medicine,"Biology of extracellular matrix, Stem cell, Oncology",2012,male,alive
Masatoshi Takeichi,https://en.wikipedia.org/wiki/Masatoshi_Takeichi,Citation Laureate,Physiology or Medicine,Cell biology,2012,male,alive
Anthony R. Hunter,https://en.wikipedia.org/wiki/Anthony_R._Hunter,Citation Laureate,Physiology or Medicine,"Biochemistry, Oncology",2012,male,alive
Anthony Pawson,https://en.wikipedia.org/wiki/Anthony_Pawson,Citation Laureate,Physiology or Medicine,"Genetics, Microbiology",2012,male,dead
Charles David Allis,https://en.wikipedia.org/wiki/Charles_David_Allis,Citation Laureate,Physiology or Medicine,Molecular biology,2012,male,alive
Michael Grunstein,https://en.wikipedia.org/wiki/Michael_Grunstein,Citation Laureate,Physiology or Medicine,Biological Chemistry,2012,male,alive
Stephen E. Harris,https://en.wikipedia.org/wiki/Stephen_E._Harris,Citation Laureate,Physics,Electromagnetically induced transparency,2012,male,alive
Lene Hau,https://en.wikipedia.org/wiki/Lene_Hau,Citation Laureate,Physics,Nanotechnology,2012,female,alive
Leigh Canham,https://en.wikipedia.org/wiki/Leigh_Canham,Citation Laureate,Physics,Optoelectronic,2012,male,alive
Charles H. Bennett,https://en.wikipedia.org/wiki/Charles_H._Bennett_(computer_scientist),Citation Laureate,Physics,"Computer science, Quantum information",2012,male,alive
Gilles Brassard,https://en.wikipedia.org/wiki/Gilles_Brassard,Citation Laureate,Physics,"Computer Science, Cryptography, Quantum information",2012,male,alive
William Wootters,https://en.wikipedia.org/wiki/William_Wootters,Citation Laureate,Physics,Quantum information theory,2012,male,alive
Louis E. Brus,https://en.wikipedia.org/wiki/Louis_E._Brus,Citation Laureate,Chemistry,Chemical Physics,2012,male,alive
Masatake Haruta,https://de.wikipedia.org/wiki/Masatake_Haruta,Citation Laureate,Chemistry,Chemistry,2012,male,alive
Graham Hutchings,https://en.wikipedia.org/wiki/Graham_Hutchings,Citation Laureate,Chemistry,Physical Chemistry,2012,male,alive
Akira Fujishima,https://en.wikipedia.org/wiki/Akira_Fujishima,Citation Laureate,Chemistry,"Photoelectrochemistry, Photofunctional Materials, Diamond Electrochemistry",2012,male,alive
Angus Deaton,https://en.wikipedia.org/wiki/Angus_Deaton,Citation Laureate,Economics,Microeconomics,2012,male,alive
Stephen Ross,https://en.wikipedia.org/wiki/Stephen_Ross_(economist),Citation Laureate,Economics,Financial economics,2012,male,alive
Tony Atkinson,https://en.wikipedia.org/wiki/Tony_Atkinson,Citation Laureate,Economics," Economics of income distribution, Microeconomics",2012,male,alive
Robert J. Shiller,https://en.wikipedia.org/wiki/Robert_J._Shiller,Citation Laureate,Economics,"Financial economics, Behavioral finance",2012,male,alive
Endre Szemerédi,https://en.wikipedia.org/wiki/Endre_Szemer%C3%A9di,Abel Prize,Mathematics,"Combinatorics, Computer science, Theoretical computer science",2012,male,alive
Joseph Altman,https://en.wikipedia.org/wiki/Joseph_Altman,International Prize for Biology,Biology,Neurobiology,2012,male,alive
Silvio Micali,https://en.wikipedia.org/wiki/Silvio_Micali,Turing Award,Computer Science,"Computer Science, Cryptography",2012,male,alive
Shafi Goldwasser,https://en.wikipedia.org/wiki/Shafi_Goldwasser,Turing Award,Computer Science,"Computer science, Cryptography",2012,female,alive
John L. Hennessy,https://en.wikipedia.org/wiki/John_L._Hennessy,IEEE Medal of Honor,Computer Science,Information technology,2012,male,alive
François Englert,https://en.wikipedia.org/wiki/Fran%C3%A7ois_Englert,Nobel,Physics,"Theoretical physics, Statistical physics, Quantum field theory, Cosmology, String theory, Supergravity",2013,male,alive
